,Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA.1,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,Year
48,17.0,리즈,LG,3.69,32.0,5.0,12.0,5.0,0.0,0.294,151 1/3,138.0,6.0,68.0,9.0,144.0,68.0,62.0,1.36,3.69,1.0,0.0,14.0,0.0,656.0,2554.0,0.248,21.0,1.0,18.0,5.0,3.0,13.0,1.0,2012
49,18.0,앤서니,KIA,3.83,32.0,11.0,13.0,1.0,0.0,0.45799999999999996,171 2/3,174.0,15.0,67.0,7.0,94.0,84.0,73.0,1.4,3.83,0.0,0.0,14.0,0.0,745.0,2940.0,0.265,30.0,4.0,10.0,5.0,2.0,5.0,1.0,2012
50,19.0,탈보트,삼성,3.97,25.0,14.0,3.0,0.0,0.0,0.8240000000000001,138 1/3,136.0,8.0,54.0,5.0,68.0,63.0,61.0,1.37,3.97,0.0,0.0,12.0,0.0,584.0,2246.0,0.266,22.0,0.0,7.0,6.0,1.0,8.0,4.0,2012
51,20.0,김혁민,한화,4.06,32.0,8.0,9.0,0.0,1.0,0.47100000000000003,146 1/3,137.0,9.0,45.0,9.0,102.0,69.0,66.0,1.24,4.06,1.0,0.0,12.0,0.0,612.0,2310.0,0.254,25.0,3.0,13.0,6.0,1.0,15.0,0.0,2012
52,21.0,사도스키,롯데,4.32,29.0,8.0,8.0,0.0,1.0,0.5,150,154.0,9.0,69.0,6.0,98.0,75.0,72.0,1.49,4.32,1.0,0.0,12.0,0.0,656.0,2618.0,0.27,16.0,0.0,6.0,5.0,0.0,16.0,0.0,2012
53,22.0,김선우,두산,4.52,28.0,6.0,9.0,0.0,0.0,0.4,163 1/3,182.0,13.0,41.0,8.0,63.0,91.0,82.0,1.37,4.52,1.0,0.0,14.0,0.0,691.0,2589.0,0.292,31.0,5.0,16.0,3.0,1.0,4.0,0.0,2012
54,1.0,찰리,NC,2.48,29.0,11.0,7.0,0.0,0.0,0.611,189,175.0,6.0,60.0,14.0,116.0,60.0,52.0,1.24,2.48,0.0,0.0,23.0,0.0,790.0,2988.0,0.255,28.0,0.0,21.0,10.0,1.0,6.0,0.0,2013
55,2.0,이재학,NC,2.88,27.0,10.0,5.0,1.0,0.0,0.667,156,123.0,12.0,59.0,14.0,144.0,53.0,50.0,1.17,2.88,2.0,1.0,17.0,0.0,646.0,2543.0,0.221,21.0,3.0,9.0,8.0,2.0,2.0,0.0,2013
56,3.0,세든,SK,2.98,30.0,14.0,6.0,0.0,0.0,0.7,187 1/3,169.0,14.0,73.0,11.0,160.0,65.0,62.0,1.29,2.98,1.0,0.0,19.0,0.0,780.0,3150.0,0.247,28.0,2.0,9.0,2.0,2.0,16.0,1.0,2013
57,4.0,리즈,LG,3.06,32.0,10.0,13.0,0.0,0.0,0.435,202 2/3,153.0,11.0,88.0,20.0,188.0,78.0,69.0,1.19,3.06,2.0,1.0,22.0,0.0,837.0,3214.0,0.215,23.0,3.0,9.0,7.0,1.0,8.0,0.0,2013
58,5.0,윤성환,삼성,3.27,27.0,13.0,8.0,0.0,0.0,0.619,170 2/3,167.0,16.0,37.0,4.0,122.0,69.0,62.0,1.2,3.27,1.0,1.0,17.0,0.0,702.0,2749.0,0.259,40.0,2.0,9.0,6.0,0.0,4.0,0.0,2013
59,6.0,옥스프링,롯데,3.29,30.0,13.0,7.0,0.0,0.0,0.65,183 1/3,164.0,10.0,69.0,11.0,144.0,79.0,67.0,1.27,3.29,1.0,1.0,22.0,0.0,774.0,3022.0,0.244,21.0,2.0,15.0,6.0,1.0,2.0,0.0,2013
60,7.0,유희관,두산,3.53,41.0,10.0,7.0,1.0,3.0,0.588,145 1/3,141.0,7.0,52.0,7.0,96.0,60.0,57.0,1.33,3.53,0.0,0.0,7.0,1.0,612.0,2410.0,0.262,28.0,3.0,10.0,4.0,1.0,2.0,2.0,2013
61,8.0,유먼,롯데,3.54,31.0,13.0,4.0,0.0,0.0,0.765,193 1/3,186.0,19.0,78.0,5.0,141.0,81.0,76.0,1.37,3.54,0.0,0.0,24.0,0.0,829.0,3124.0,0.258,27.0,2.0,22.0,3.0,0.0,3.0,0.0,2013
62,9.0,에릭,NC,3.63,27.0,4.0,11.0,0.0,0.0,0.267,178 1/3,163.0,12.0,50.0,17.0,127.0,83.0,72.0,1.19,3.63,3.0,0.0,16.0,0.0,744.0,2714.0,0.245,24.0,1.0,8.0,5.0,0.0,5.0,0.0,2013
63,10.0,밴헤켄,키움,3.73,29.0,12.0,10.0,0.0,0.0,0.545,161 2/3,178.0,11.0,58.0,10.0,137.0,78.0,67.0,1.46,3.73,0.0,0.0,16.0,0.0,705.0,2795.0,0.287,30.0,3.0,11.0,5.0,0.0,11.0,1.0,2013
64,11.0,송승준,롯데,3.76,29.0,12.0,6.0,0.0,0.0,0.667,167 2/3,171.0,11.0,64.0,4.0,133.0,74.0,70.0,1.4,3.76,0.0,0.0,13.0,0.0,720.0,2917.0,0.267,32.0,3.0,9.0,3.0,0.0,4.0,0.0,2013
65,12.0,노경은,두산,3.84,30.0,10.0,10.0,0.0,0.0,0.5,180 1/3,171.0,16.0,75.0,6.0,153.0,88.0,77.0,1.36,3.84,0.0,0.0,18.0,0.0,765.0,3000.0,0.254,33.0,4.0,10.0,2.0,0.0,8.0,1.0,2013
66,13.0,윤희상,SK,3.87,25.0,8.0,6.0,0.0,0.0,0.5710000000000001,151 1/3,147.0,17.0,44.0,7.0,120.0,72.0,65.0,1.26,3.87,1.0,0.0,15.0,1.0,642.0,2445.0,0.257,28.0,1.0,11.0,8.0,0.0,3.0,1.0,2013
67,14.0,우규민,LG,3.91,30.0,10.0,8.0,0.0,2.0,0.556,147 1/3,162.0,5.0,31.0,12.0,92.0,67.0,64.0,1.31,3.91,1.0,1.0,9.0,0.0,635.0,2324.0,0.27899999999999997,25.0,6.0,6.0,5.0,2.0,2.0,0.0,2013
68,15.0,밴덴헐크,삼성,3.95,24.0,7.0,9.0,0.0,0.0,0.43799999999999994,143 2/3,127.0,11.0,48.0,11.0,137.0,67.0,63.0,1.22,3.95,0.0,0.0,15.0,0.0,612.0,2414.0,0.23800000000000002,21.0,3.0,16.0,4.0,2.0,3.0,0.0,2013
69,16.0,바티스타,한화,4.2,29.0,7.0,7.0,0.0,0.0,0.5,143 2/3,141.0,9.0,70.0,13.0,150.0,77.0,67.0,1.47,4.2,0.0,0.0,7.0,0.0,640.0,2558.0,0.259,20.0,5.0,9.0,3.0,1.0,8.0,1.0,2013
70,17.0,강윤구,키움,4.36,41.0,6.0,6.0,0.0,7.0,0.5,130,112.0,6.0,75.0,8.0,131.0,69.0,63.0,1.44,4.36,0.0,0.0,4.0,0.0,568.0,2324.0,0.23800000000000002,21.0,2.0,9.0,6.0,0.0,8.0,0.0,2013
71,18.0,장원삼,삼성,4.38,27.0,13.0,10.0,1.0,0.0,0.565,154,165.0,21.0,42.0,9.0,104.0,85.0,75.0,1.34,4.38,1.0,0.0,14.0,0.0,658.0,2484.0,0.27699999999999997,17.0,3.0,9.0,3.0,2.0,6.0,1.0,2013
72,19.0,나이트,키움,4.43,30.0,12.0,10.0,0.0,0.0,0.545,172 2/3,192.0,10.0,79.0,14.0,129.0,96.0,85.0,1.57,4.43,0.0,0.0,15.0,0.0,769.0,2997.0,0.29100000000000004,29.0,3.0,11.0,5.0,1.0,2.0,0.0,2013
73,20.0,김광현,SK,4.47,25.0,10.0,9.0,0.0,0.0,0.526,133,128.0,12.0,68.0,4.0,102.0,72.0,66.0,1.47,4.47,0.0,0.0,9.0,1.0,580.0,2273.0,0.259,31.0,3.0,7.0,7.0,0.0,9.0,1.0,2013
74,21.0,배영수,삼성,4.71,27.0,14.0,4.0,0.0,0.0,0.778,151,193.0,9.0,38.0,14.0,101.0,83.0,79.0,1.53,4.71,0.0,0.0,13.0,0.0,671.0,2507.0,0.32,33.0,5.0,12.0,3.0,1.0,5.0,0.0,2013
